epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
1,2.137317,0.207300,2.027145,0.266100,0.235093,0.0000600000,36.98,0.266100,vit,0.2,True,False,42
2,2.057554,0.250600,1.973561,0.279700,0.225247,0.0001200000,30.78,0.279700,vit,0.2,True,False,42
3,2.017849,0.263300,1.897580,0.334800,0.311529,0.0001800000,30.52,0.334800,vit,0.2,True,False,42
4,1.969521,0.290600,1.859313,0.352700,0.334193,0.0002400000,31.02,0.352700,vit,0.2,True,False,42
5,1.936906,0.313600,1.788298,0.390400,0.365576,0.0003000000,31.54,0.390400,vit,0.2,True,False,42
6,1.886036,0.343800,1.769245,0.414600,0.399965,0.0002999183,34.65,0.414600,vit,0.2,True,False,42
7,1.839504,0.371500,1.750252,0.411200,0.399806,0.0002996731,33.42,0.414600,vit,0.2,True,False,42
8,1.806400,0.386000,1.723690,0.419200,0.393064,0.0002992649,32.36,0.419200,vit,0.2,True,False,42
9,1.782700,0.406000,1.751216,0.418500,0.404464,0.0002986940,31.79,0.419200,vit,0.2,True,False,42
10,1.769055,0.406500,1.706785,0.444400,0.443342,0.0002979610,31.75,0.444400,vit,0.2,True,False,42
11,1.735677,0.414400,1.614234,0.485600,0.479027,0.0002970668,31.92,0.485600,vit,0.2,True,False,42
12,1.716925,0.435900,1.658409,0.459700,0.429171,0.0002960123,28.18,0.485600,vit,0.2,True,False,42
13,1.697181,0.445900,1.612510,0.482200,0.469148,0.0002947987,26.14,0.485600,vit,0.2,True,False,42
14,1.685116,0.454500,1.596108,0.487800,0.471108,0.0002934273,26.00,0.487800,vit,0.2,True,False,42
15,1.667593,0.458000,1.593732,0.490700,0.464343,0.0002918997,26.77,0.490700,vit,0.2,True,False,42
16,1.652798,0.468900,1.670031,0.460000,0.436438,0.0002902174,26.32,0.490700,vit,0.2,True,False,42
17,1.645277,0.474500,1.585308,0.486000,0.461750,0.0002883823,28.91,0.490700,vit,0.2,True,False,42
18,1.636401,0.473400,1.505355,0.529900,0.515061,0.0002863965,27.58,0.529900,vit,0.2,True,False,42
19,1.622032,0.482000,1.558438,0.513600,0.503182,0.0002842620,27.92,0.529900,vit,0.2,True,False,42
20,1.609530,0.485000,1.569265,0.502300,0.498453,0.0002819813,27.28,0.529900,vit,0.2,True,False,42
21,1.596444,0.489300,1.531126,0.521400,0.510931,0.0002795568,27.13,0.529900,vit,0.2,True,False,42
22,1.594927,0.493600,1.528829,0.511700,0.499041,0.0002769912,26.65,0.529900,vit,0.2,True,False,42
23,1.574761,0.506900,1.501117,0.536200,0.524491,0.0002742873,26.57,0.536200,vit,0.2,True,False,42
24,1.567692,0.508600,1.496616,0.537700,0.530555,0.0002714480,27.78,0.537700,vit,0.2,True,False,42
25,1.563836,0.510100,1.506415,0.533600,0.523796,0.0002684765,26.83,0.537700,vit,0.2,True,False,42
26,1.539998,0.522600,1.452669,0.562000,0.556984,0.0002653760,26.45,0.562000,vit,0.2,True,False,42
27,1.550498,0.522700,1.466248,0.552900,0.544209,0.0002621498,26.73,0.562000,vit,0.2,True,False,42
28,1.528589,0.525100,1.465730,0.558100,0.553728,0.0002588016,32.01,0.562000,vit,0.2,True,False,42
29,1.514578,0.533300,1.452102,0.563700,0.553469,0.0002553349,31.25,0.563700,vit,0.2,True,False,42
30,1.512939,0.533800,1.473335,0.554400,0.544481,0.0002517536,29.02,0.563700,vit,0.2,True,False,42
31,1.508614,0.541900,1.447878,0.561500,0.558929,0.0002480616,28.50,0.563700,vit,0.2,True,False,42
32,1.489546,0.542700,1.449672,0.564600,0.563878,0.0002442629,31.23,0.564600,vit,0.2,True,False,42
33,1.488889,0.548500,1.418389,0.577900,0.580846,0.0002403616,33.82,0.577900,vit,0.2,True,False,42
34,1.474951,0.558700,1.417935,0.576700,0.567087,0.0002363621,33.06,0.577900,vit,0.2,True,False,42
35,1.462813,0.562600,1.409608,0.582400,0.573739,0.0002322687,33.06,0.582400,vit,0.2,True,False,42
36,1.465512,0.557400,1.412481,0.582900,0.569998,0.0002280860,28.71,0.582900,vit,0.2,True,False,42
37,1.442492,0.564400,1.370096,0.599500,0.598401,0.0002238183,27.39,0.599500,vit,0.2,True,False,42
38,1.441777,0.573500,1.382540,0.593900,0.579833,0.0002194705,26.19,0.599500,vit,0.2,True,False,42
39,1.438229,0.576100,1.399969,0.591900,0.584391,0.0002150473,34.25,0.599500,vit,0.2,True,False,42
40,1.434596,0.568300,1.401501,0.585100,0.573089,0.0002105535,31.80,0.599500,vit,0.2,True,False,42
41,1.420571,0.578700,1.376253,0.602700,0.596000,0.0002059940,30.36,0.602700,vit,0.2,True,False,42
42,1.401504,0.587100,1.353201,0.605500,0.605409,0.0002013738,33.10,0.605500,vit,0.2,True,False,42
43,1.405456,0.582700,1.357743,0.610800,0.605556,0.0001966980,35.37,0.610800,vit,0.2,True,False,42
44,1.396322,0.593800,1.365417,0.610000,0.603835,0.0001919717,30.86,0.610800,vit,0.2,True,False,42
45,1.388705,0.593700,1.325374,0.622900,0.616412,0.0001872001,29.73,0.622900,vit,0.2,True,False,42
46,1.386898,0.592100,1.343758,0.613200,0.602005,0.0001823883,30.50,0.622900,vit,0.2,True,False,42
47,1.367883,0.604300,1.342973,0.610800,0.606051,0.0001775416,29.70,0.622900,vit,0.2,True,False,42
48,1.368304,0.606500,1.341349,0.615600,0.602073,0.0001726654,29.33,0.622900,vit,0.2,True,False,42
49,1.364233,0.607700,1.365053,0.607300,0.593521,0.0001677650,30.73,0.622900,vit,0.2,True,False,42
50,1.364532,0.601500,1.332130,0.612800,0.608376,0.0001628456,31.74,0.622900,vit,0.2,True,False,42
51,1.343428,0.614400,1.338696,0.612200,0.599666,0.0001579128,30.56,0.622900,vit,0.2,True,False,42
52,1.347652,0.612100,1.303307,0.631000,0.624539,0.0001529718,29.70,0.631000,vit,0.2,True,False,42
53,1.331853,0.616300,1.339656,0.617300,0.606326,0.0001480282,29.16,0.631000,vit,0.2,True,False,42
54,1.331373,0.619700,1.296841,0.634300,0.623925,0.0001430872,26.45,0.634300,vit,0.2,True,False,42
55,1.319978,0.625300,1.305159,0.635700,0.623191,0.0001381544,36.45,0.635700,vit,0.2,True,False,42
56,1.306381,0.629700,1.299353,0.638500,0.632614,0.0001332350,37.86,0.638500,vit,0.2,True,False,42
57,1.307577,0.632600,1.282592,0.641500,0.635452,0.0001283346,60.62,0.641500,vit,0.2,True,False,42
58,1.288105,0.640900,1.312220,0.631300,0.624779,0.0001234584,57.39,0.641500,vit,0.2,True,False,42
59,1.290433,0.639200,1.294654,0.637600,0.624972,0.0001186117,50.02,0.641500,vit,0.2,True,False,42
60,1.283507,0.645500,1.276936,0.648300,0.641110,0.0001137999,54.41,0.648300,vit,0.2,True,False,42
61,1.281448,0.648000,1.280156,0.643000,0.635286,0.0001090283,52.77,0.648300,vit,0.2,True,False,42
62,1.273795,0.643300,1.286835,0.641100,0.633310,0.0001043020,42.04,0.648300,vit,0.2,True,False,42
63,1.253962,0.657200,1.292435,0.639800,0.627506,0.0000996262,43.62,0.648300,vit,0.2,True,False,42
64,1.253423,0.655900,1.313423,0.633500,0.625198,0.0000950060,48.30,0.648300,vit,0.2,True,False,42
65,1.241696,0.663000,1.270626,0.654400,0.643087,0.0000904465,43.09,0.654400,vit,0.2,True,False,42
66,1.238574,0.661700,1.272831,0.652100,0.645748,0.0000859527,61.16,0.654400,vit,0.2,True,False,42
67,1.237790,0.660900,1.293427,0.646000,0.638352,0.0000815295,38.45,0.654400,vit,0.2,True,False,42
68,1.230218,0.669000,1.285278,0.648500,0.637870,0.0000771817,41.36,0.654400,vit,0.2,True,False,42
69,1.208567,0.678900,1.257808,0.657600,0.648449,0.0000729140,45.15,0.657600,vit,0.2,True,False,42
70,1.216002,0.676100,1.287039,0.646600,0.637831,0.0000687313,49.80,0.657600,vit,0.2,True,False,42
71,1.210636,0.673800,1.243291,0.670200,0.664281,0.0000646379,53.60,0.670200,vit,0.2,True,False,42
72,1.202883,0.676200,1.286890,0.645700,0.634773,0.0000606384,55.06,0.670200,vit,0.2,True,False,42
73,1.198449,0.684300,1.261532,0.660200,0.652664,0.0000567371,49.64,0.670200,vit,0.2,True,False,42
74,1.184946,0.685400,1.244088,0.668400,0.661953,0.0000529384,37.36,0.670200,vit,0.2,True,False,42
75,1.179378,0.686900,1.249681,0.663600,0.655593,0.0000492464,36.69,0.670200,vit,0.2,True,False,42
76,1.181420,0.695200,1.249555,0.663700,0.656106,0.0000456651,34.45,0.670200,vit,0.2,True,False,42
77,1.176962,0.690400,1.242060,0.667500,0.659576,0.0000421984,49.95,0.670200,vit,0.2,True,False,42
78,1.169363,0.694900,1.241200,0.667100,0.659875,0.0000388502,52.17,0.670200,vit,0.2,True,False,42
79,1.180093,0.688700,1.252115,0.665100,0.655024,0.0000356240,43.91,0.670200,vit,0.2,True,False,42
80,1.169203,0.698800,1.241823,0.670500,0.663367,0.0000325235,52.11,0.670500,vit,0.2,True,False,42
81,1.163487,0.698100,1.242384,0.669600,0.661584,0.0000295520,55.24,0.670500,vit,0.2,True,False,42
82,1.158355,0.702500,1.232973,0.672100,0.665003,0.0000267127,41.61,0.672100,vit,0.2,True,False,42
83,1.159329,0.698800,1.231582,0.673300,0.666217,0.0000240088,52.58,0.673300,vit,0.2,True,False,42
84,1.153988,0.703000,1.237044,0.673300,0.665540,0.0000214432,56.66,0.673300,vit,0.2,True,False,42
85,1.148024,0.706000,1.244177,0.670000,0.660619,0.0000190187,61.25,0.673300,vit,0.2,True,False,42
86,1.141708,0.706200,1.232407,0.673600,0.666640,0.0000167380,56.03,0.673600,vit,0.2,True,False,42
87,1.140328,0.707000,1.242095,0.673500,0.665902,0.0000146035,52.65,0.673600,vit,0.2,True,False,42
88,1.144258,0.708200,1.240023,0.672300,0.662579,0.0000126177,39.67,0.673600,vit,0.2,True,False,42
89,1.145091,0.703200,1.239319,0.672500,0.663707,0.0000107826,38.55,0.673600,vit,0.2,True,False,42
90,1.143167,0.711200,1.239309,0.673200,0.664769,0.0000091003,44.37,0.673600,vit,0.2,True,False,42
91,1.135811,0.716400,1.227698,0.675900,0.668266,0.0000075727,50.13,0.675900,vit,0.2,True,False,42
92,1.130523,0.716400,1.232707,0.674700,0.666874,0.0000062013,35.04,0.675900,vit,0.2,True,False,42
93,1.127139,0.718700,1.230836,0.675300,0.667134,0.0000049877,31.07,0.675900,vit,0.2,True,False,42
94,1.135575,0.712400,1.237027,0.673100,0.664348,0.0000039332,39.58,0.675900,vit,0.2,True,False,42
95,1.136271,0.712800,1.231160,0.675400,0.667174,0.0000030390,29.91,0.675900,vit,0.2,True,False,42
96,1.129576,0.718100,1.233676,0.673600,0.665402,0.0000023060,43.63,0.675900,vit,0.2,True,False,42
97,1.129734,0.713800,1.232154,0.674300,0.666132,0.0000017351,47.41,0.675900,vit,0.2,True,False,42
98,1.127527,0.715100,1.232868,0.675300,0.666918,0.0000013269,43.52,0.675900,vit,0.2,True,False,42
99,1.123979,0.715500,1.233408,0.674900,0.666621,0.0000010817,38.60,0.675900,vit,0.2,True,False,42
100,1.128007,0.715700,1.233238,0.674300,0.666067,0.0000010000,53.32,0.675900,vit,0.2,True,False,42
